Record Length,2.50E+03,,0,0.0696
Sample Interval,2.00E-03,,0.002,0.0728
Trigger Point,0.00E+00,,0.004,0.0736
,,,0.006,0.0712
,,,0.008,0.0672
,,,0.01,0.0616
Source,CH1,,0.012,0.0528
Vertical Units,V,,0.014,0.0432
Vertical Scale,2.00E-02,,0.016,0.0304
Vertical Offset,0.00E+00,,0.018,0.016
Horizontal Units,s,,0.02,0.0016
Horizontal Scale,5.00E-01,,0.022,-0.0152
Pt Fmt,Y,,0.024,-0.0304
Yzero,0.00E+00,,0.026,-0.0448
Probe Atten,1.00E+00,,0.028,-0.0568
Model Number,TBS1052B-EDU,,0.03,-0.0664
Serial Number,C016163,,0.032,-0.0736
Firmware Version,FV:v4.0,,0.034,-0.0776
,,,0.036,-0.0784
,,,0.038,-0.0776
,,,0.04,-0.0736
,,,0.042,-0.0672
,,,0.044,-0.0584
,,,0.046,-0.0488
,,,0.048,-0.0368
,,,0.05,-0.0248
,,,0.052,-0.0128
,,,0.054,0.0008
,,,0.056,0.012
,,,0.058,0.0232
,,,0.06,0.0344
,,,0.062,0.0424
,,,0.064,0.052
,,,0.066,0.0584
,,,0.068,0.064
,,,0.07,0.068
,,,0.072,0.0712
,,,0.074,0.072
,,,0.076,0.0712
,,,0.078,0.0672
,,,0.08,0.0608
,,,0.082,0.052
,,,0.084,0.0408
,,,0.086,0.028
,,,0.088,0.0144
,,,0.09,-0.0008
,,,0.092,-0.0152
,,,0.094,-0.0296
,,,0.096,-0.0424
,,,0.098,-0.0544
,,,0.1,-0.0656
,,,0.102,-0.072
,,,0.104,-0.0776
,,,0.106,-0.0792
,,,0.108,-0.076
,,,0.11,-0.0736
,,,0.112,-0.0664
,,,0.114,-0.0576
,,,0.116,-0.0464
,,,0.118,-0.0352
,,,0.12,-0.024
,,,0.122,-0.012
,,,0.124,0
,,,0.126,0.012
,,,0.128,0.0224
,,,0.13,0.0328
,,,0.132,0.0432
,,,0.134,0.052
,,,0.136,0.0584
,,,0.138,0.0632
,,,0.14,0.0688
,,,0.142,0.0704
,,,0.144,0.0704
,,,0.146,0.0696
,,,0.148,0.0656
,,,0.15,0.0592
,,,0.152,0.0512
,,,0.154,0.0416
,,,0.156,0.0296
,,,0.158,0.0144
,,,0.16,0
,,,0.162,-0.016
,,,0.164,-0.0304
,,,0.166,-0.0424
,,,0.168,-0.0544
,,,0.17,-0.0656
,,,0.172,-0.0712
,,,0.174,-0.0744
,,,0.176,-0.076
,,,0.178,-0.0752
,,,0.18,-0.0712
,,,0.182,-0.0656
,,,0.184,-0.0576
,,,0.186,-0.0472
,,,0.188,-0.0368
,,,0.19,-0.024
,,,0.192,-0.012
,,,0.194,0.0008
