Time,PT1,PT2
30.21, 1.367E+1, 4.776E+0
60.31, 1.113E+1, 3.708E+0
90.45, 9.418E+0, 2.990E+0
120.58, 8.271E+0, 2.507E+0
150.79, 7.863E+0, 2.132E+0
181.01, 7.302E+0, 1.851E+0
211.21, 6.997E+0, 1.633E+0
241.29, 6.691E+0, 1.454E+0
271.32, 6.232E+0, 1.296E+0
301.41, 6.156E+0, 1.166E+0
331.42, 6.206E+0, 1.069E+0
361.58, 6.130E+0, 9.789E-1
391.63, 5.952E+0, 9.024E-1
421.76, 5.493E+0, 8.378E-1
451.90, 5.748E+0, 7.783E-1
482.01, 5.467E+0, 7.280E-1
512.08, 5.493E+0, 6.827E-1
542.25, 5.544E+0, 6.417E-1
572.35, 5.620E+0, 6.033E-1
602.46, 5.748E+0, 5.707E-1
632.55, 5.518E+0, 5.443E-1
662.55, 5.722E+0, 5.166E-1
692.56, 5.314E+0, 4.924E-1
722.63, 5.467E+0, 4.733E-1
752.84, 5.416E+0, 4.515E-1
783.00, 5.060E+0, 4.350E-1
813.06, 5.773E+0, 4.186E-1
843.27, 5.314E+0, 4.043E-1
873.40, 5.416E+0, 3.890E-1
903.53, 5.620E+0, 3.779E-1
933.66, 5.187E+0, 3.654E-1
963.67, 5.212E+0, 3.549E-1
993.89, 5.289E+0, 3.465E-1
1023.97, 4.932E+0, 3.360E-1
1054.11, 5.085E+0, 3.285E-1
1084.28, 5.212E+0, 3.190E-1
1114.47, 5.416E+0, 3.119E-1
1144.60, 5.187E+0, 3.057E-1
1174.75, 5.263E+0, 3.004E-1
1204.76, 5.085E+0, 2.922E-1
1234.78, 5.009E+0, 2.864E-1
1264.79, 5.085E+0, 2.821E-1
1294.87, 5.162E+0, 2.759E-1
1325.06, 4.881E+0, 2.706E-1
1355.20, 4.881E+0, 2.662E-1
1385.39, 5.060E+0, 2.614E-1
1415.52, 4.958E+0, 2.568E-1
1445.59, 4.932E+0, 2.515E-1
1475.80, 4.983E+0, 2.484E-1
1505.99, 5.085E+0, 2.446E-1
1536.00, 5.136E+0, 2.411E-1
1566.12, 4.881E+0, 2.375E-1
1596.14, 4.907E+0, 2.339E-1
1626.20, 5.034E+0, 2.316E-1
1656.34, 5.136E+0, 2.288E-1
1686.50, 5.085E+0, 2.253E-1
1716.63, 4.932E+0, 2.227E-1
1746.85, 5.111E+0, 2.195E-1
1776.98, 4.907E+0, 2.167E-1
