time_s,y,y_error,is_molecular
3.021000000000000085e+01,2.077840260312862064e+00,2.050080128205128069e-02,0.000000000000000000e+00
6.027000000000000313e+01,1.795701688460678902e+00,2.066404369407507172e-02,0.000000000000000000e+00
9.028000000000000114e+01,1.551406176182652308e+00,2.084779890210042286e-02,0.000000000000000000e+00
1.204500000000000028e+02,1.347917291998886435e+00,2.103912298020470598e-02,0.000000000000000000e+00
1.506500000000000057e+02,1.157289918285521413e+00,2.125734762518467769e-02,1.000000000000000000e+00
1.808700000000000045e+02,9.819286484550270311e-01,2.149835181300569636e-02,1.000000000000000000e+00
2.109499999999999886e+02,8.287701343446596258e-01,2.174634359310194387e-02,1.000000000000000000e+00
2.410500000000000114e+02,6.698273752383283597e-01,2.204718767593019310e-02,1.000000000000000000e+00
2.711000000000000227e+02,5.319802778383877495e-01,2.234976208658873142e-02,1.000000000000000000e+00
3.012699999999999818e+02,3.963570890774369970e-01,2.269106566200215433e-02,1.000000000000000000e+00
3.314800000000000182e+02,2.711486454920624678e-01,2.305001258130189717e-02,1.000000000000000000e+00
3.615400000000000205e+02,1.561572367732750322e-01,2.342169870232076526e-02,1.000000000000000000e+00
3.917300000000000182e+02,4.165045125518738317e-02,2.383682004354790995e-02,1.000000000000000000e+00
4.217300000000000182e+02,-7.258144558081817965e-02,2.430112151743566914e-02,1.000000000000000000e+00
4.518100000000000023e+02,-1.834301710797491547e-01,2.480532429932365279e-02,1.000000000000000000e+00
4.820199999999999818e+02,-2.884156748055323738e-01,2.533724731469744890e-02,1.000000000000000000e+00
5.120599999999999454e+02,-3.900396939054270873e-01,2.590815768872871058e-02,1.000000000000000000e+00
5.421900000000000546e+02,-4.900430845834621296e-01,2.652954619653933796e-02,1.000000000000000000e+00
5.723799999999999955e+02,-5.824290426256835129e-01,2.716152827013284393e-02,1.000000000000000000e+00
6.024500000000000455e+02,-6.785147585156333649e-01,2.788379289276070316e-02,1.000000000000000000e+00
6.325399999999999636e+02,-7.759202790268793226e-01,2.869036238811158504e-02,1.000000000000000000e+00
6.627599999999999909e+02,-8.711739730710319485e-01,2.955885867227453154e-02,1.000000000000000000e+00
6.928999999999999773e+02,-9.537070738845873086e-01,3.038125145986348905e-02,1.000000000000000000e+00
7.229600000000000364e+02,-1.043187042562699895e+00,3.135299293276189864e-02,1.000000000000000000e+00
7.531499999999999773e+02,-1.132458669451939848e+00,3.241310824230388132e-02,1.000000000000000000e+00
7.833400000000000318e+02,-1.220644338613907864e+00,3.355748373101952176e-02,1.000000000000000000e+00
8.135499999999999545e+02,-1.297880634548902901e+00,3.464611328768628373e-02,1.000000000000000000e+00
8.437599999999999909e+02,-1.380232769741295495e+00,3.590330788804071277e-02,1.000000000000000000e+00
8.739500000000000455e+02,-1.457489656162042291e+00,3.718065458293961373e-02,1.000000000000000000e+00
9.040599999999999454e+02,-1.529379820263521372e+00,3.846125444223934958e-02,1.000000000000000000e+00
9.341900000000000546e+02,-1.615355386198138010e+00,4.011870033195855806e-02,1.000000000000000000e+00
9.643600000000000136e+02,-1.686210971240014178e+00,4.159593996328690702e-02,1.000000000000000000e+00
9.943799999999999955e+02,-1.757531970678828159e+00,4.319243926479968132e-02,1.000000000000000000e+00
1.024500000000000000e+03,-1.821641523709976118e+00,4.472799208704254098e-02,1.000000000000000000e+00
1.054630000000000109e+03,-1.886773692831737126e+00,4.639218791237793849e-02,1.000000000000000000e+00
1.084839999999999918e+03,-1.955243570236389505e+00,4.826255917473327300e-02,1.000000000000000000e+00
1.114880000000000109e+03,-2.026166212820975421e+00,5.033980582524272274e-02,1.000000000000000000e+00
1.145069999999999936e+03,-2.091433154532214456e+00,5.238604161606349313e-02,1.000000000000000000e+00
1.175180000000000064e+03,-2.149520717267209058e+00,5.432297923459757788e-02,1.000000000000000000e+00
1.205380000000000109e+03,-2.217417080624167536e+00,5.673431903756084860e-02,1.000000000000000000e+00
1.235529999999999973e+03,-2.281900501801213288e+00,5.918111470271331803e-02,1.000000000000000000e+00
1.265609999999999900e+03,-2.340183123409364185e+00,6.153255113695358519e-02,1.000000000000000000e+00
1.295700000000000045e+03,-2.398325365274881271e+00,6.401892813909981772e-02,1.000000000000000000e+00
1.325890000000000100e+03,-2.454105900635288329e+00,6.654410053525718072e-02,1.000000000000000000e+00
1.356019999999999982e+03,-2.513182675139737476e+00,6.937662017034935957e-02,1.000000000000000000e+00
1.386230000000000018e+03,-2.573737863494616196e+00,7.245901639344264067e-02,1.000000000000000000e+00
1.416400000000000091e+03,-2.624030795598636168e+00,7.516480485450285909e-02,1.000000000000000000e+00
1.446549999999999955e+03,-2.669599014727957353e+00,7.773672055427252592e-02,1.000000000000000000e+00
1.476700000000000045e+03,-2.735524178102965553e+00,8.167129201356772283e-02,1.000000000000000000e+00
1.506869999999999891e+03,-2.789368722279799151e+00,8.508298080052072165e-02,1.000000000000000000e+00
1.537049999999999955e+03,-2.846278320385654315e+00,8.889424733034799464e-02,1.000000000000000000e+00
1.567259999999999991e+03,-2.888134262955972531e+00,9.183908045977011436e-02,1.000000000000000000e+00
1.597369999999999891e+03,-2.931818947810338916e+00,9.504690431519706439e-02,1.000000000000000000e+00
1.627450000000000045e+03,-2.977499505292930948e+00,9.855459544383343706e-02,1.000000000000000000e+00
