time_s,pt1_mbar,y,y_error,reynolds,in_laminar_fit
5.120000000000000107e+00,1.824000000000000000e+03,-1.268160140209678266e+00,9.170538330625028003e-03,3.077402023713083778e+01,1.000000000000000000e+00
1.032000000000000028e+01,1.724000000000000000e+03,-1.365756799060683813e+00,1.041037529680350140e-02,2.886091076661167776e+01,1.000000000000000000e+00
1.541999999999999993e+01,1.638000000000000000e+03,-1.464835003171171213e+00,1.180074880040335970e-02,2.528027915495562894e+01,1.000000000000000000e+00
2.051000000000000156e+01,1.563000000000000000e+03,-1.566298419773482831e+00,1.337701445945047377e-02,2.214561515281447512e+01,1.000000000000000000e+00
2.560999999999999943e+01,1.497000000000000000e+03,-1.670806858810392592e+00,1.517946650791827945e-02,1.948743728706126177e+01,1.000000000000000000e+00
3.069000000000000128e+01,1.439000000000000000e+03,-1.778044046483135521e+00,1.723869705287296716e-02,1.708295964996112914e+01,1.000000000000000000e+00
3.571999999999999886e+01,1.389000000000000000e+03,-1.885578224445709772e+00,1.954101550714673272e-02,1.505859466758007059e+01,1.000000000000000000e+00
4.078999999999999915e+01,1.344000000000000000e+03,-1.997937486383968064e+00,2.222989033052447799e-02,1.309868553683007164e+01,1.000000000000000000e+00
4.585999999999999943e+01,1.306000000000000000e+03,-2.107747372241103534e+00,2.516988954466951520e-02,1.149980185226053564e+01,1.000000000000000000e+00
5.095000000000000284e+01,1.271000000000000000e+03,-2.224623551524333553e+00,2.867850341530245664e-02,1.005250064445406366e+01,1.000000000000000000e+00
5.604999999999999716e+01,1.242000000000000000e+03,-2.336258308100633396e+00,3.243855530516147334e-02,8.793703423574191547e+00,1.000000000000000000e+00
6.114000000000000057e+01,1.215000000000000000e+03,-2.455842516844088941e+00,3.696375991956810797e-02,7.846879402461410358e+00,1.000000000000000000e+00
6.625000000000000000e+01,1.192000000000000000e+03,-2.573108967556162696e+00,4.196224634073794646e-02,6.597468789663928135e+00,1.000000000000000000e+00
7.131999999999999318e+01,1.173000000000000000e+03,-2.683757508533165304e+00,4.725029596918538244e-02,5.828343900382338738e+00,1.000000000000000000e+00
7.640999999999999659e+01,1.155000000000000000e+03,-2.803360380906534832e+00,5.366698681157464762e-02,5.344643200318979659e+00,1.000000000000000000e+00
8.150000000000000000e+01,1.139000000000000000e+03,-2.925198807092789011e+00,6.104515888682091745e-02,4.576711867975808978e+00,1.000000000000000000e+00
8.654000000000000625e+01,1.126000000000000000e+03,-3.038028908412874429e+00,6.872995178488806867e-02,3.947531201817765734e+00,1.000000000000000000e+00
9.164000000000000057e+01,1.114000000000000000e+03,-3.156298748802297549e+00,7.777446101127170885e-02,3.614904173886555050e+00,1.000000000000000000e+00
9.671999999999999886e+01,1.103000000000000000e+03,-3.279970924228011508e+00,8.845090305011203691e-02,3.298845456344742022e+00,1.000000000000000000e+00
1.018299999999999983e+02,1.093000000000000000e+03,-3.408787550928831234e+00,1.010705134459652932e-01,2.812069388010672633e+00,1.000000000000000000e+00
1.069699999999999989e+02,1.085000000000000000e+03,-3.526360524616161563e+00,1.140987995332608390e-01,2.340954111662280734e+00,1.000000000000000000e+00
1.120799999999999983e+02,1.078000000000000000e+03,-3.642835515612529385e+00,1.286089137581583053e-01,2.185743469972750930e+00,1.000000000000000000e+00
1.172199999999999989e+02,1.071000000000000000e+03,-3.775630380522591256e+00,1.473526105093260208e-01,2.022000707196532243e+00,1.000000000000000000e+00
1.223700000000000045e+02,1.065000000000000000e+03,-3.906292330719161043e+00,1.683928138760851234e-01,1.724464128311691935e+00,1.000000000000000000e+00
1.274099999999999966e+02,1.060000000000000000e+03,-4.030646528616747659e+00,1.911400878498997480e-01,1.421249753478748046e+00,1.000000000000000000e+00
1.325200000000000102e+02,1.056000000000000000e+03,-4.143134726391532574e+00,2.143017740254493930e-01,1.257601938060785685e+00,1.000000000000000000e+00
1.375900000000000034e+02,1.052000000000000000e+03,-4.270420602678324684e+00,2.438537365318835248e-01,1.256389488262819709e+00,1.000000000000000000e+00
1.427100000000000080e+02,1.048000000000000000e+03,-4.416911036527383594e+00,2.828633196751308421e-01,9.382623674659126278e-01,1.000000000000000000e+00
1.478100000000000023e+02,1.046000000000000000e+03,-4.499326461816393063e+00,3.074567263507366199e-01,7.833619921260593921e-01,1.000000000000000000e+00
1.529199999999999875e+02,1.043000000000000000e+03,-4.637637376125592681e+00,3.535699564611560763e-01,7.829007105336789341e-01,1.000000000000000000e+00
1.580300000000000011e+02,1.041000000000000000e+03,-4.742029368705289016e+00,3.928520389141833546e-01,7.872365575768048851e-01,1.000000000000000000e+00
1.630999999999999943e+02,1.038000000000000000e+03,-4.922896379788248566e+00,4.714170056755905835e-01,9.468929303732577241e-01,0.000000000000000000e+00
