Time,PT1,PT2
5.10, 1.934E+3, 2.387E+1
10.23, 1.881E+3, 2.386E+1
15.35, 1.832E+3, 2.381E+1
20.44, 1.783E+3, 2.376E+1
25.52, 1.736E+3, 2.372E+1
30.65, 1.691E+3, 2.368E+1
35.76, 1.647E+3, 2.369E+1
40.82, 1.605E+3, 2.368E+1
45.92, 1.565E+3, 2.362E+1
51.02, 1.527E+3, 2.361E+1
56.12, 1.492E+3, 2.361E+1
61.23, 1.458E+3, 2.357E+1
66.34, 1.425E+3, 2.358E+1
71.44, 1.396E+3, 2.359E+1
76.52, 1.368E+3, 2.355E+1
81.62, 1.341E+3, 2.357E+1
86.70, 1.317E+3, 2.351E+1
91.80, 1.293E+3, 2.348E+1
96.92, 1.271E+3, 2.347E+1
102.07, 1.251E+3, 2.349E+1
107.14, 1.232E+3, 2.343E+1
112.16, 1.215E+3, 2.341E+1
117.29, 1.198E+3, 2.336E+1
122.41, 1.183E+3, 2.337E+1
127.46, 1.170E+3, 2.339E+1
132.55, 1.157E+3, 2.335E+1
137.69, 1.145E+3, 2.331E+1
142.81, 1.134E+3, 2.328E+1
147.91, 1.124E+3, 2.327E+1
153.01, 1.115E+3, 2.327E+1
158.09, 1.106E+3, 2.325E+1
163.19, 1.098E+3, 2.326E+1
168.29, 1.092E+3, 2.325E+1
173.37, 1.085E+3, 2.325E+1
178.46, 1.079E+3, 2.324E+1
183.50, 1.074E+3, 2.323E+1
188.63, 1.069E+3, 2.325E+1
193.72, 1.065E+3, 2.323E+1
198.82, 1.060E+3, 2.321E+1
203.93, 1.057E+3, 2.323E+1
209.00, 1.053E+3, 2.321E+1
214.11, 1.050E+3, 2.323E+1
219.21, 1.047E+3, 2.322E+1
224.35, 1.045E+3, 2.322E+1
229.47, 1.043E+3, 2.319E+1
234.60, 1.041E+3, 2.321E+1
239.73, 1.039E+3, 2.321E+1
244.85, 1.037E+3, 2.319E+1
249.89, 1.036E+3, 2.320E+1
254.96, 1.034E+3, 2.320E+1
260.06, 1.034E+3, 2.320E+1
265.14, 1.032E+3, 2.320E+1
270.22, 1.032E+3, 2.320E+1
275.30, 1.031E+3, 2.320E+1
280.37, 1.030E+3, 2.320E+1
285.47, 1.029E+3, 2.320E+1
290.57, 1.028E+3, 2.319E+1
295.67, 1.027E+3, 2.320E+1
300.77, 1.027E+3, 2.321E+1
