Time,PT1,PT2
5.12, 1.932E+3, 2.406E+1
10.22, 1.879E+3, 2.404E+1
15.39, 1.828E+3, 2.404E+1
20.49, 1.777E+3, 2.403E+1
25.59, 1.727E+3, 2.403E+1
30.65, 1.682E+3, 2.401E+1
35.77, 1.638E+3, 2.398E+1
40.82, 1.596E+3, 2.396E+1
45.90, 1.557E+3, 2.399E+1
50.98, 1.519E+3, 2.398E+1
56.09, 1.484E+3, 2.392E+1
61.16, 1.451E+3, 2.391E+1
66.22, 1.420E+3, 2.388E+1
71.30, 1.390E+3, 2.387E+1
76.37, 1.363E+3, 2.380E+1
81.48, 1.337E+3, 2.379E+1
86.59, 1.312E+3, 2.377E+1
91.67, 1.289E+3, 2.374E+1
96.79, 1.267E+3, 2.370E+1
101.85, 1.248E+3, 2.372E+1
106.94, 1.229E+3, 2.370E+1
112.02, 1.211E+3, 2.369E+1
117.16, 1.196E+3, 2.364E+1
122.27, 1.180E+3, 2.368E+1
127.40, 1.167E+3, 2.365E+1
132.55, 1.154E+3, 2.365E+1
137.68, 1.143E+3, 2.362E+1
142.81, 1.132E+3, 2.362E+1
147.94, 1.122E+3, 2.363E+1
153.05, 1.113E+3, 2.360E+1
158.14, 1.105E+3, 2.360E+1
163.22, 1.098E+3, 2.360E+1
168.34, 1.090E+3, 2.359E+1
173.43, 1.084E+3, 2.361E+1
178.55, 1.078E+3, 2.361E+1
183.61, 1.073E+3, 2.358E+1
188.64, 1.068E+3, 2.361E+1
193.75, 1.064E+3, 2.360E+1
198.82, 1.060E+3, 2.361E+1
203.95, 1.056E+3, 2.358E+1
209.04, 1.053E+3, 2.360E+1
214.15, 1.050E+3, 2.359E+1
219.27, 1.047E+3, 2.356E+1
224.34, 1.045E+3, 2.358E+1
229.44, 1.043E+3, 2.360E+1
234.59, 1.040E+3, 2.358E+1
239.71, 1.039E+3, 2.357E+1
244.78, 1.037E+3, 2.357E+1
249.89, 1.036E+3, 2.358E+1
255.05, 1.034E+3, 2.357E+1
260.15, 1.034E+3, 2.357E+1
265.24, 1.032E+3, 2.356E+1
270.34, 1.032E+3, 2.355E+1
275.45, 1.031E+3, 2.356E+1
280.54, 1.030E+3, 2.359E+1
