0.07,-2.941244088,0.009469697
0.14,-2.972015747,0.009765625
0.21,-2.972015747,0.009765625
0.278,-2.987764104,0.009920635
0.35,-2.987764104,0.009920635
0.42,-3.020024966,0.010245902
0.49,-3.003764445,0.010080645
0.558,-3.053361386,0.01059322
0.63,-3.036554268,0.010416667
0.7,-3.087847562,0.010964912
0.77,-3.07045582,0.010775862
0.838,-3.087847562,0.010964912
0.908,-3.07045582,0.010775862
0.98,-3.123565645,0.011363636
1.048,-3.087847562,0.010964912
1.12,-3.160606917,0.011792453
1.19,-3.141914784,0.011574074
1.26,-3.179655112,0.012019231
1.328,-3.141914784,0.011574074
1.398,-3.199073198,0.012254902
1.468,-3.179655112,0.012019231
1.538,-3.199073198,0.012254902
1.608,-3.199073198,0.012254902
1.678,-3.239078532,0.012755102
1.748,-3.239078532,0.012755102
1.818,-3.259697819,0.013020833
1.888,-3.259697819,0.013020833
1.958,-3.280751229,0.013297872
2.03,-3.280751229,0.013297872
2.098,-3.324236341,0.013888889
2.168,-3.302257434,0.013586957
2.238,-3.346709196,0.014204545
2.308,-3.324236341,0.013888889
2.378,-3.302257434,0.013586957
2.448,-3.346709196,0.014204545
2.518,-3.393229212,0.014880952
2.586,-3.346709196,0.014204545
2.656,-3.393229212,0.014880952
2.726,-3.369698715,0.014534884
2.796,-3.417326764,0.015243902
2.868,-3.417326764,0.015243902
2.936,-3.467337184,0.016025641
3.006,-3.417326764,0.015243902
3.076,-3.467337184,0.016025641
3.08,-3.519980918,0.016891892
3.144,-3.442019376,0.015625
3.218,-3.493312671,0.016447368
3.222,-3.604538306,0.018382353
3.286,-3.467337184,0.016025641
3.356,-3.547379892,0.017361111
3.426,-3.467337184,0.016025641
3.496,-3.547379892,0.017361111
3.564,-3.493312671,0.016447368
3.568,-3.519980918,0.016891892
3.636,-3.547379892,0.017361111
3.706,-3.547379892,0.017361111
3.776,-3.575550769,0.017857143
3.846,-3.575550769,0.017857143
3.916,-3.575550769,0.017857143
3.988,-3.604538306,0.018382353
4.058,-3.634391269,0.018939394
4.124,-3.575550769,0.017857143
4.194,-3.634391269,0.018939394
4.266,-3.604538306,0.018382353
4.338,-3.696911626,0.02016129
4.404,-3.665162927,0.01953125
4.476,-3.696911626,0.02016129
4.546,-3.665162927,0.01953125
