13.5,	-54
14,	-33
14.1,	-28
14.15,	-21
14.2,	-9.9
14.21,	-4.2
14.22,	1
14.23,	8.4
14.24,	16.4
14.25,	22
14.255,	28
14.26,	28.9
14.265,	38.4
14.27,	43.4
14.275,	47.8
14.28,	57.6
14.285,	66
14.29,	73.3
14.295,	78.4
14.3,	86.3
