Time,PT1,PT2
5.02, 1.819E+3, 1.004E+3
10.08, 1.722E+3, 1.004E+3
15.18, 1.636E+3, 1.004E+3
20.30, 1.561E+3, 1.003E+3
25.41, 1.495E+3, 1.004E+3
30.48, 1.437E+3, 1.004E+3
35.56, 1.386E+3, 1.004E+3
40.68, 1.342E+3, 1.002E+3
45.76, 1.304E+3, 1.001E+3
50.81, 1.270E+3, 1.003E+3
55.95, 1.240E+3, 1.003E+3
61.04, 1.214E+3, 1.004E+3
66.17, 1.190E+3, 1.004E+3
71.22, 1.171E+3, 1.004E+3
76.33, 1.154E+3, 1.004E+3
81.44, 1.138E+3, 1.004E+3
86.52, 1.124E+3, 1.004E+3
91.60, 1.113E+3, 1.003E+3
96.74, 1.102E+3, 1.003E+3
101.88, 1.093E+3, 1.005E+3
107.01, 1.084E+3, 1.003E+3
112.11, 1.077E+3, 1.004E+3
117.19, 1.070E+3, 1.003E+3
122.31, 1.065E+3, 1.003E+3
127.39, 1.060E+3, 1.005E+3
132.50, 1.055E+3, 1.005E+3
137.65, 1.052E+3, 1.003E+3
142.79, 1.048E+3, 1.003E+3
147.92, 1.045E+3, 1.003E+3
153.08, 1.043E+3, 1.003E+3
158.19, 1.040E+3, 1.005E+3
163.30, 1.038E+3, 1.003E+3
168.40, 1.036E+3, 1.004E+3
173.50, 1.034E+3, 1.004E+3
178.57, 1.033E+3, 1.004E+3
183.63, 1.032E+3, 1.002E+3
188.69, 1.031E+3, 1.004E+3
193.81, 1.030E+3, 1.002E+3
198.94, 1.029E+3, 1.002E+3
204.06, 1.028E+3, 1.002E+3
