Time,PT1,PT2
5.12, 1.824E+3, 1.003E+3
10.32, 1.724E+3, 1.004E+3
15.42, 1.638E+3, 1.001E+3
20.51, 1.563E+3, 1.002E+3
25.61, 1.497E+3, 1.004E+3
30.69, 1.439E+3, 1.004E+3
35.72, 1.389E+3, 1.004E+3
40.79, 1.344E+3, 1.004E+3
45.86, 1.306E+3, 1.002E+3
50.95, 1.271E+3, 1.002E+3
56.05, 1.242E+3, 1.003E+3
61.14, 1.215E+3, 1.002E+3
66.25, 1.192E+3, 1.003E+3
71.32, 1.173E+3, 1.004E+3
76.41, 1.155E+3, 1.005E+3
81.50, 1.139E+3, 1.002E+3
86.54, 1.126E+3, 1.004E+3
91.64, 1.114E+3, 1.003E+3
96.72, 1.103E+3, 1.003E+3
101.83, 1.093E+3, 1.004E+3
106.97, 1.085E+3, 1.003E+3
112.08, 1.078E+3, 1.003E+3
117.22, 1.071E+3, 1.004E+3
122.37, 1.065E+3, 1.004E+3
127.41, 1.060E+3, 1.003E+3
132.52, 1.056E+3, 1.003E+3
137.59, 1.052E+3, 1.002E+3
142.71, 1.048E+3, 1.004E+3
147.81, 1.046E+3, 1.003E+3
152.92, 1.043E+3, 1.004E+3
158.03, 1.041E+3, 1.002E+3
163.10, 1.038E+3, 1.005E+3
